trato,nombre,area,correo
Dip.,Adriana Gabriela Medina Ortiz,Sala W2,
Dip.,Alberto Alfaro García,Sala N1,
Dip.,Alejandra Margarita Giadans Valenzuela,Sala E2,
Dip.,Alejandro Barragán Sánchez,Sala O1,
Dip.,Alondra Getsemany Fausto de Leon,Sala J2,
Dip.,Ana Fernanda Hernández Sanmiguel,Sala K,
Dip.,Brenda Guadalupe Carrera García,Sala S,
Dip.,César Octavio Madrigal Díaz,Sala H,
Dip.,Claudia Murguía Torres,Sala X,
Dip.,Edgar Enrique Velázquez González,Sala C1,
Dip.,Emmanuel Alejandro Puerto Covarrubias,Sala W1,
Dip.,Isaías Cortés Berumen,Sala B1,
Dip.,Itzcoatl Tonatiuh Bravo Padilla,Sala L,
Dip.,Itzul Barrera Rodríguez,Sala N2,
Dip.,José Aurelio Fonseca Olivares,Sala J1,
Dip.,José Guadalupe Buenrostro Martínez,Sala Q,
Dip.,José Luis Tostado Bastidas,Sala Y,
Dip.,Julio Cesar Hurtado Luna,Sala A2,
Dip.,Laura Gabriela Cárdenas Rodríguez,Sala U2,
Dip.,Leonardo Almaguer Castañeda,Sala T2,
Dip.,Lourdes Celenia Contreras González,Sala B3,
Dip.,Luis Octavio Vidrio Martínez,Sala B2,
Dip.,Marco Tulio Moya Díaz,Sala A1,
Dip.,María Candelaria Ochoa Ávalos,Sala R,
Dip.,María del Refugio Camarena Jáuregui,Sala M,
Dip.,Mariana Casillas Guerrero,Sala G1,
Dip.,Marta Estela Arizmendi Fombona,Sala D,
Dip.,Martín Franco Cuevas,Sala I,
Dip.,Miguel De La Rosa Figueroa,Sala Z,
Dip.,Mónica Paola Magaña Mendoza,Sala E1,
Dip.,Montserrat Pérez Cisneros,Sala CH,
Dip.,Norma López Ramírez,Sala O2,
Dip.,Dip. Omar Enrique Cervantes Rivera,Sala U1,
Dip.,Sergio Miguel Martín Castellanos,Sala T1,
Dip.,Tonantzin Elusay Cárdenas Méndez,Sala G2,
Dip.,Valeria Guadalupe Ávila Gutiérrez,Sala C2,
Dip.,Verónica Magdalena Jiménez Vázquez,Sala F,
Dip.,Yussara Elizabeth Canales González,Sala P,
C. ,Jorge Armando Ballesteros González,Órgano Técnico de Administración y planeación legislativa,
C. ,Pablo Alejandro Chávez Panduro,"Órgano Técnico de Asistencia social, familiar y niñez",
C. ,Andrea Santibañez Espinosa de los Monteros,"Órgano Técnico de Competitividad, desarrollo económico, innovación y trabajo",
C. ,Pedro García Castellanos,Órgano Técnico de Derechos humanos y pueblos originarios,
C. ,José Antonio Cisneros Rivera,Órgano Técnico de Desarrollo productivo regional,
C. ,Gilda Vanessa López Mena,"Órgano Técnico de Educación, cultura y deporte",
C. ,Julio César Guzmán González,Órgano Técnico de Estudios Legislativos y Reglamentos,
C. ,Miriam Janeth Ladrón de Guevara González,Órgano Técnico de Gestión metropolitana,
C. ,Osvaldo Miramontes Barriga,Órgano Técnico de Gobernación y fortalecimiento municipal,
C. ,Cristina Alejandra Preciado Gutiérrez,Órgano Técnico de Hacienda y presupuestos,
C. ,Aylin Alicia Chávez Valencia,"Órgano Técnico de Higiene, salud pública y prevención de las adicciones",
C. ,Alina Irene Magdaleno Cárdenas,Órgano Técnico de Igualdad sustantiva y de género,
C. ,Esther Guadalupe Razo Vizcarra,Órgano Técnico de Movilidad y transporte,
C. ,Marcos Octavio Gutiérrez Munguía,"Órgano Técnico de Medio ambiente, sostenibilidad, protección civil y resiliencia",
C. ,Jesús Roberto Acosta Cueto,"Órgano Técnico de Participación ciudadana, transparencia y ética en el servicio público",
C. ,Juan Pablo Martínez Díaz,"Órgano Técnico de Planeación, ordenamiento territorial y de la gestión del agua",
C. ,Juan de Dios Olmos García,Órgano Técnico de Puntos constitucionales y electorales,
C. ,Paula Gutiérrez Magaña,Órgano Técnico de Responsabilidades,
C. ,Edgar Emmanuel Arévalo Lozano,Órgano Técnico de Seguridad y justicia,
Lic.,Eduardo Fabián Martínez Lomelí,Secretaría General,
Lic.,Alexandra Elizabeth Serrano De la Mora,Coordinación de Administración y Finanzas,
Lic.,Rubén Huerta García,Coordinación de Procesos Legislativos,
C. ,Bárbara Lizette Trigueros Becerra,Coordinación de Asuntos Jurídicos,
C. ,José Ernesto Coronel Tirado,Coordinación de Comunicación Social y Atención Ciudadana,
Lic.,Verónica Salazar Serrano,Coordinación de Servicios Generales,
Lic.,Gustavo Orozco Morales,"Coordinación de Parlamento Abierto, Transparencia y Participación Ciudadana",
C. ,Stephanie Sifuentes Vargas,Órgano Interno de Control,
C. ,Dinore Valero Padilla,Unidad de Igualdad de Género y No Discriminación,
C. ,Carlos Guillermo Hoeflich Mercado,Sistema de Radio y TV,
Dr.,Alfonso Hernández Godínez,Centro de Investigaciones Legislativas,
Mtro.,David Rubén Ocampo Uribe,Unidad de Vigilancia,
